id,nome,tipo,caminho_atual,destino_sugerido,confianca,acao_recomendada,motivo,modificado_em
1E7qGIU1YhHT93JvKMYMbdp34z8zFwPFy,FINAIS_DORA SANDUBARIA,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DORA SANDUBARIA,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DORA SANDUBARIA,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:29.575Z
1_n6Pu7fUCh_ijOXQVVY_GNIcuyca6mKl,DORA -DEPOIMENTO DA PROPRIETÁRIA.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DORA SANDUBARIA/DORA -DEPOIMENTO DA PROPRIETÁRIA.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-02-03T16:56:12.000Z
1DPBPmJE1FJ4cHNPX_qJ_FIsJ5B4moz_0,FINAIS_DOUGLAS MAIS ACESSÓRIOS,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DOUGLAS MAIS ACESSÓRIOS,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DOUGLAS MAIS ACESSÓRIOS,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:29.576Z
1KBYsQmcn2_mNc5kgYfth1gxAKJGgx5fe,HISTÓRIA DO GANHADOR WEMERSON.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DOUGLAS MAIS ACESSÓRIOS/HISTÓRIA DO GANHADOR WEMERSON.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-09-22T23:08:06.000Z
1yFeR1zEnmjj88VqQDlAA8frAayAMKqYu,FINAIS_DROGARIA SÃO JORGE,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:29.587Z
1nSgfuauN1Ss8lHruRInfCe3ORCjfB-WA,FINAIS_DSJ,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:30.630Z
1XDfDepIwa5RZlMTjrY4wlCCvDHcQU3ge,DSJ_CAPÍTULO 2_.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/DSJ_CAPÍTULO 2_.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-05-31T15:31:22.000Z
1kbsU11uYqbnNAhz3dHxH7kagkwojFGSW,DSJ_CAPÍTULO_3.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/DSJ_CAPÍTULO_3.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-05-31T15:31:22.000Z
1AE6TCIaRChcGXamnF6UjIsCufLXOKdtA,HISTÓRIA_DSJ_CAPÍTULO 4_2.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/HISTÓRIA_DSJ_CAPÍTULO 4_2.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-05-31T15:31:22.000Z
1CGsCJIhaG1ZJcUK7wz1BndB47-LOtyWr,HISTÓRIA_DSJ_COM BARRA CINEMATOGRÁFICA.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/HISTÓRIA_DSJ_COM BARRA CINEMATOGRÁFICA.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-05-31T15:31:22.000Z
1tF501wA6dwijy5Nh86aQOGX9UzpW5oNu,HORIZONTAL_HISTÓRIA_COMPLETO.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/HORIZONTAL_HISTÓRIA_COMPLETO.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto; nome repetido; não apagar automaticamente,2024-05-31T16:28:18.000Z
1O7R4BWh1dhqI0ZWgJGcsjpy4S4uNCef1,TRAND SALTO NINJA COM FRALDAS 01.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/TRAND SALTO NINJA COM FRALDAS 01.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto; nome repetido; não apagar automaticamente,2024-07-27T15:05:36.000Z
1a7WW09QmM8BgcU8LdzpMQvLZPl1CH7qg,TRAND SALTO NINJA COM FRALDAS 02.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/TRAND SALTO NINJA COM FRALDAS 02.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto; nome repetido; não apagar automaticamente,2024-07-27T15:05:40.000Z
1PwuELbKO0-o3YzGuhysUbzSNJPjrs0e_,VERTICAL_HISTÓRIA_COMPLETO.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/VERTICAL_HISTÓRIA_COMPLETO.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-05-31T18:19:00.000Z
1GbRyLFX1MOuh4Z3z2F5YKNLaHx6aQg3z,HORIZONTAL_HISTÓRIA_COMPLETO.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/HORIZONTAL_HISTÓRIA_COMPLETO.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto; nome repetido; não apagar automaticamente,2024-05-31T16:28:18.000Z
1YerFx0TcSKv2x3NMVhIRJ-dhDVSKJIjW,TRAND SALTO NINJA COM FRALDAS 01.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/TRAND SALTO NINJA COM FRALDAS 01.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto; nome repetido; não apagar automaticamente,2024-07-27T15:05:36.000Z
1xMiUMWlJ5ua-84GxM-kjM0DyDysI2t9u,TRAND SALTO NINJA COM FRALDAS 02.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/TRAND SALTO NINJA COM FRALDAS 02.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto; nome repetido; não apagar automaticamente,2024-07-27T15:05:40.000Z
1CGCJ-_sGYx0yw364mqP78t-VsrJA9DkY,FINAIS_EMPRESARIAL NASCIMENTO,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_EMPRESARIAL NASCIMENTO,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_EMPRESARIAL NASCIMENTO,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:29.575Z
13mim1wwz5gbgxj8k4cGr-x46sJj0lXTY,INAUGURAÇÃO EMPRESARIAL NASCIMENTO - Instagram e TV.MP4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_EMPRESARIAL NASCIMENTO/INAUGURAÇÃO EMPRESARIAL NASCIMENTO - Instagram e TV.MP4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2025-02-26T22:26:36.000Z
1Tc0RLIVheUA6HNmF2jJa8XMfvoStpg98,FINAIS_IGREJA BALUARTE,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_IGREJA BALUARTE,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_IGREJA BALUARTE,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:29.589Z
18HamVHZ8wlRVRhbaH0er9Od5ViMfM2zd,ABALA_7_SS.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_IGREJA BALUARTE/ABALA_7_SS.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-04-23T00:26:04.000Z
1kvNqzcP5B9zrOYU0zaYuIiuIHwWHk3Cu,FINAIS_POUPE MAIS FARMA,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_POUPE MAIS FARMA,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_POUPE MAIS FARMA,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:29.575Z
1k1irwhwwdm7A2x_XM-lXd9-utehHwjqJ,INAUGURAÇÃO POUPE MAIS - fullhd.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_POUPE MAIS FARMA/INAUGURAÇÃO POUPE MAIS - fullhd.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2023-12-09T07:38:34.000Z
1ggjS0IZcwIL6aih0d0hednP-ovWNEIBR,FINAIS_YASMIM ÁGUA,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_YASMIM ÁGUA,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_YASMIM ÁGUA,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:30.624Z
1YuK8AtorhE6T8kQ3i4b-BtOZILXTYSbR,YASMIM - ÓTICAS COLY.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_YASMIM ÁGUA/YASMIM - ÓTICAS COLY.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-02-28T03:25:14.000Z
1fX1Jq9QTps0l_oJ_2N87jDPEqtnHhfAX,ISMAEL,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:30.626Z
1EO0tqnId80wlA51ljozMo0WJuIUAqKgz,CONVITE_CONVENÇÃO_PREVIEW.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL/CONVITE_CONVENÇÃO_PREVIEW.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-02T10:24:44.000Z
156R6QSOlpjFZJ4V2Ml6OOEUFxgV-wnXt,CONVITE_CONVENÇÃO_PREVIEW_2.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL/CONVITE_CONVENÇÃO_PREVIEW_2.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-02T11:01:48.000Z
1XqExkfGYLSftHyDsBYUkT0DEYwbJT7mw,CONVITE_CONVENÇÃO_PREVIEW_3.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL/CONVITE_CONVENÇÃO_PREVIEW_3.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-02T12:06:36.000Z
11g7Rz0p8ol1QuEztz42RdsPchl1xICiZ,CONVITE_CONVENÇÃO_ZAP.3gp,video/3gpp,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL/CONVITE_CONVENÇÃO_ZAP.3gp,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-02T10:35:32.000Z
12zh3Yh9dOzRkHZRqv6ks4GfjEX2N_1ET,CONVITE_CONVENÇÃO_ZAP_2.3gp,video/3gpp,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL/CONVITE_CONVENÇÃO_ZAP_2.3gp,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-02T11:13:02.000Z
1Vo9P4V9WDyhdVG5Pcbo6Fs_t3p36JYni,CONVITE_CONVENÇÃO_ZAP_3.3gp,video/3gpp,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL/CONVITE_CONVENÇÃO_ZAP_3.3gp,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-02T12:16:28.000Z
1rBpHk4UuhkwFHFYqYT5q-StxVsaOCEGy,SUPER ÓTICA FASHION,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/SUPER ÓTICA FASHION,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/SUPER ÓTICA FASHION,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:30.623Z
1tNCJ_l8SqTiPtddRXsUqXJoiZVfnR1zZ,SUPER ÓCULOS.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/SUPER ÓTICA FASHION/SUPER ÓCULOS.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-18T23:13:54.000Z
1oAZRXHkfyFJtphEG0dpuHYTF0H1XGUX1,SUPER ÓCULOS_2.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/SUPER ÓTICA FASHION/SUPER ÓCULOS_2.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-18T23:21:24.000Z
1RPUkSj81buG7M0zF4UftYxgzNwcj903i,WELIDA,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/WELIDA,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/WELIDA,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:30.623Z
14Xxu2IsAsBXIqXZm_W2QzH6A3wERQE2j,COMITÊ 11.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/WELIDA/COMITÊ 11.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-29T00:01:50.000Z
1YolMA9oAPrhAT-QgvTGUornoTjOZjuQr,COMITÊ 11_2.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/WELIDA/COMITÊ 11_2.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-29T00:35:58.000Z
1S9j45-bud0PAwBS9VKH91Z6moKQuQTdb,COMITÊ 11_3.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/WELIDA/COMITÊ 11_3.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-29T00:53:02.000Z
140-fE4tsu2N_u5AWqlJgjpA2-CQwu1xu,COMITÊ 11_4.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/WELIDA/COMITÊ 11_4.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-08-29T01:42:12.000Z
1lU_S062PB4iKE3t-xNO-QKoKI_-QAMQL,ALDEIA KARAPOTÓ TERRA NOVA,pasta,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-07-02T00:43:18.797Z
16ri3FIAgBnAWqGniQO3Z-vPmn--KKFi5,00_ADMIN_BRIEFINGS,pasta,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/00_ADMIN_BRIEFINGS,01_CLIENTES/[CLIENTE]/00_ADMIN_BRIEFINGS ou 02_ESTRATEGIA_E_PLANEJAMENTO,média,revisar cliente/projeto,já está em CLIENTES; briefing/planejamento,2026-07-08T04:59:59.809Z
1pyZjwi3mBsAjIKt_alpVVnR6Ok_HxFD4,01_IDENTIDADE_VISUAL,pasta,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/01_IDENTIDADE_VISUAL,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/01_IDENTIDADE_VISUAL,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-07-08T05:00:01.081Z
1Vkl5W-FX-EuZiNFrHnrpGOPy7VIJQxym,02_PLANEJAMENTO,pasta,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/02_PLANEJAMENTO,01_CLIENTES/[CLIENTE]/00_ADMIN_BRIEFINGS ou 02_ESTRATEGIA_E_PLANEJAMENTO,média,revisar cliente/projeto,já está em CLIENTES; briefing/planejamento,2026-07-08T05:00:02.398Z
1w_OwCU1iL9P9Rt7FvtWYApgg1XRjt0Ky,03_PRODUCAO_BRUTA,pasta,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-07-08T05:00:03.385Z
1S9_vXFKTV-ktq9AGe93HEOFTRPAgu9YG,Abertura ,pasta,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/Abertura,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/Abertura,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-07-02T00:43:32.944Z
1ltMEkLbizUdmL5y7_XfSC_8uiYWFmSEV,ABERTURA_PREVIEW.mp4,video/mp4,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/Abertura/ABERTURA_PREVIEW.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2026-07-02T00:50:52.427Z
