PATH                                                                                                                                          TYPE    SIZE       MODIFIED          ID
01_CLIENTES/SINDSS                                                                                                                            folder  -          2026-07-07 07:06  1GbfLqL4qJ69x2O1NRPQuQyT2J4iio7Ow
02_PROJETOS/Alem_da_Foto                                                                                                                      folder  -          2026-06-08 00:03  1RVLFEi1s9uGLuZqxu8cpsa75UXIUP8jQ
02_PROJETOS/PROJETOS CULTURAIS                                                                                                                folder  -          2026-06-18 00:51  1frpRaA37AZEBI4tlEaTjuMGW1_BwDDSz
03_EMPRESA/01_LOGIKA_OPERACAO                                                                                                                 folder  -          2026-07-08 04:35  1OC_PqV85CwwYZusBrO9Xp_imuLrcRFBs
03_EMPRESA/03_COMERCIAL_PROPOSTAS                                                                                                             folder  -          2026-07-08 04:35  118Gky-7D7BUV2MT_7nzkaqKD9fI8h32_
03_EMPRESA/04_IDENTIDADE_VISUAL_DESIGN                                                                                                        folder  -          2026-07-08 04:35  1Lf685m_RS5XPTIX9yfnX3jnzCbnlR_6o
03_EMPRESA/05_PRODUCAO_CAPTACOES                                                                                                              folder  -          2026-07-08 04:35  1m3aWjlkhyvLKHeeBsVPi9kIVZGcMYncC
03_EMPRESA/06_SISTEMA_AUTOMACOES                                                                                                              folder  -          2026-07-08 04:35  1-Bh1ZScv67runsGBxEiMpeRJtq-QXfKy
03_EMPRESA/99_MIGRACOES_ARQUIVO                                                                                                               folder  -          2026-07-08 04:35  10QTGiIBmbr1WcmCAZZEADMieoZE2Xln_
03_EMPRESA/FINANCEIRO                                                                                                                         folder  -          2026-07-08 04:34  1LtSrTlEYiaZ06oQ3_4dJNIP2Dkd8IOTr
OUTROS/AMIGAS DO PEITO                                                                                                                        folder  -          2026-07-06 04:08  1XdvZXC0JcuQQofGH5hcVXeO2eYcvkVBS
OUTROS/ANIVERSARIOS ELISA AMANDA                                                                                                              folder  -          2026-07-06 04:08  1--1AsJSVr1Vh4ZMiqgcHja93mlYp4LBs
OUTROS/ANIVERSÁRIO LIZ DEVINHO                                                                                                                folder  -          2026-01-05 21:05  1l42Hn24q-IhC68nwvz1Y86xIV8NgPBNH
OUTROS/Behringer Drivers                                                                                                                      folder  -          2025-09-05 22:21  1zI9OtOq1OeOxkI-gpIPXFrG0UM4-on7Z
OUTROS/ETERNIZANDO ABRAÇO - VÔ RAFAEL                                                                                                         folder  -          2026-01-05 21:07  1bxjgD1tErvM7dA5DrIjaQM7YMlQswCUA
OUTROS/QUADRILHA DA LUANA                                                                                                                     folder  -          2026-01-03 04:21  17ZLSYz5xMajGpD82K5e_ttruvaSBC5D0
PORTIFÓLIO/VIDEOS                                                                                                                             folder  -          2026-07-06 03:58  1_bCw_ZjAksXYWs3hQIB2VsjBvq9x-RWi
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA                                                                                 folder  -          2026-01-05 04:02  1Xw7gwb_iiMcpLDuEYALUzu364CGl6eM6
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DORA SANDUBARIA                                                                        folder  -          2026-01-05 04:02  1E7qGIU1YhHT93JvKMYMbdp34z8zFwPFy
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DOUGLAS MAIS ACESSÓRIOS                                                                folder  -          2026-01-05 04:02  1DPBPmJE1FJ4cHNPX_qJ_FIsJ5B4moz_0
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE                                                                     folder  -          2026-01-05 04:02  1yFeR1zEnmjj88VqQDlAA8frAayAMKqYu
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_EMPRESARIAL NASCIMENTO                                                                 folder  -          2026-01-05 04:02  1CGCJ-_sGYx0yw364mqP78t-VsrJA9DkY
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_IGREJA BALUARTE                                                                        folder  -          2026-01-05 04:02  1Tc0RLIVheUA6HNmF2jJa8XMfvoStpg98
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_POUPE MAIS FARMA                                                                       folder  -          2026-01-05 04:02  1kvNqzcP5B9zrOYU0zaYuIiuIHwWHk3Cu
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_YASMIM ÁGUA                                                                            folder  -          2026-01-05 04:02  1ggjS0IZcwIL6aih0d0hednP-ovWNEIBR
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/ISMAEL                                                                                        folder  -          2026-01-05 04:02  1fX1Jq9QTps0l_oJ_2N87jDPEqtnHhfAX
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/SUPER ÓTICA FASHION                                                                           folder  -          2026-01-05 04:02  1rBpHk4UuhkwFHFYqYT5q-StxVsaOCEGy
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/WELIDA                                                                                        folder  -          2026-01-05 04:02  1RPUkSj81buG7M0zF4UftYxgzNwcj903i
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/00_ADMIN_BRIEFINGS                                                                                     folder  -          2026-07-08 04:59  16ri3FIAgBnAWqGniQO3Z-vPmn--KKFi5
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/01_IDENTIDADE_VISUAL                                                                                   folder  -          2026-07-08 05:00  1pyZjwi3mBsAjIKt_alpVVnR6Ok_HxFD4
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/02_PLANEJAMENTO                                                                                        folder  -          2026-07-08 05:00  1Vkl5W-FX-EuZiNFrHnrpGOPy7VIJQxym
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA                                                                                      folder  -          2026-07-08 05:00  1w_OwCU1iL9P9Rt7FvtWYApgg1XRjt0Ky
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/04_PROJETOS_EDICAO                                                                                     folder  -          2026-07-08 05:00  10E_FOhoCzXbBmmSy8FSBevMALoLpcK7A
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/05_ENTREGAS_FINAIS                                                                                     folder  -          2026-07-08 05:00  1gfGUZsrrKf1qYbk1fxnNcwHbddNW1N0l
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/06_PUBLICADOS_ARQUIVO                                                                                  folder  -          2026-07-08 05:00  14waHHbLZPV_yNdDiIj3_HtZOyQUOepuP
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/99_REVISAR_DUPLICADOS                                                                                  folder  -          2026-07-08 05:00  1irYlf2HhA3KdLP_EuzLr5-QfAmqrDqZK
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL/00_ADMIN_BRIEFINGS                                                                                        folder  -          2026-07-08 05:00  1biG3ebcThl-5Pb3HHN-aXC4g-Cavw8xt
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL/01_IDENTIDADE_VISUAL                                                                                      folder  -          2026-07-08 05:00  17IXP3C1uVYStsV2GTtPoAO8ppaJ-SYnI
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL/02_PLANEJAMENTO                                                                                           folder  -          2026-07-08 05:00  1cD0ZUjsDkVznwGT1pbm7yUFkaVA1qFkh
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL/03_PRODUCAO_BRUTA                                                                                         folder  -          2026-07-08 05:00  1rejkoMccnfTo1Dp48cclSJgCBK1yEyZ4
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL/04_PROJETOS_EDICAO                                                                                        folder  -          2026-07-08 05:00  1l0HbGNG_hVWTt6xMP50Bjx7r21w7l8en
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL/05_ENTREGAS_FINAIS                                                                                        folder  -          2026-07-08 05:00  1kxVRfeJW6uGkBjGNMMO1PW1diNlBXCha
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL/06_PUBLICADOS_ARQUIVO                                                                                     folder  -          2026-07-08 05:00  1kzEnlb5YHOpqGXbBr6ZUdeYMf0eI2hZg
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL/99_REVISAR_DUPLICADOS                                                                                     folder  -          2026-07-08 05:00  1QSxkqvaJHQwMAr-2I8T6S07-7AP3Arcu
01_CLIENTES/DÉ DO CAMPO - VEREADOR/00_ADMIN_BRIEFINGS                                                                                         folder  -          2026-07-08 05:00  13V--1bNwZy1IYLKGP2U9v3_xNYTV5CKk
01_CLIENTES/DÉ DO CAMPO - VEREADOR/01_IDENTIDADE_VISUAL                                                                                       folder  -          2026-07-08 05:00  1hHTahTnuTBKHTaWUnX5PS3r5Yp_FkpP1
01_CLIENTES/DÉ DO CAMPO - VEREADOR/02_PLANEJAMENTO                                                                                            folder  -          2026-07-08 05:00  15dVwl6FhRuMZrIXwQk5L0_Vtfbu8K8_v
01_CLIENTES/DÉ DO CAMPO - VEREADOR/03_PRODUCAO_BRUTA                                                                                          folder  -          2026-07-08 05:00  1kOJoqfqV_rtfzWTiQlXD8WK2y7DTKoU8
01_CLIENTES/DÉ DO CAMPO - VEREADOR/04_PROJETOS_EDICAO                                                                                         folder  -          2026-07-08 05:00  18eqG3k2j8u7W6WW3SlKZToh_QHHfV2RP
01_CLIENTES/DÉ DO CAMPO - VEREADOR/05_ENTREGAS_FINAIS                                                                                         folder  -          2026-07-08 05:00  1kVxVgUT86pjoT8GJD7gSEmmjNU7x15cy
01_CLIENTES/DÉ DO CAMPO - VEREADOR/06_PUBLICADOS_ARQUIVO                                                                                      folder  -          2026-07-08 05:00  1bx8YW4L4gaadrkuxQnrEqNJCXNfOmNpO
01_CLIENTES/DÉ DO CAMPO - VEREADOR/99_REVISAR_DUPLICADOS                                                                                      folder  -          2026-07-08 05:00  1XGzDzxwef4r_JQRj9BzzFVbLEzPj4xC7
01_CLIENTES/IRLA DA SAÚDE/00_ADMIN_BRIEFINGS                                                                                                  folder  -          2026-07-08 05:00  1hqqOmTx9FsjInbTZF7Q0hUu0r-XEZEaq
01_CLIENTES/IRLA DA SAÚDE/01_IDENTIDADE_VISUAL                                                                                                folder  -          2026-07-08 05:00  1k6cu64cHevBfuUOOngYrRikQrhmszkP4
01_CLIENTES/IRLA DA SAÚDE/02_PLANEJAMENTO                                                                                                     folder  -          2026-07-08 05:00  1tmIeygWWDTrDqhPIG4nKYtM2ezNLz4S1
01_CLIENTES/IRLA DA SAÚDE/03_PRODUCAO_BRUTA                                                                                                   folder  -          2026-07-08 05:00  1EkOcEt9I_htbKxbERZh1Q-IOyJiJLUlY
01_CLIENTES/IRLA DA SAÚDE/04_PROJETOS_EDICAO                                                                                                  folder  -          2026-07-08 05:00  1mIzu82Rz3nJgVXBQUktilea989Hvn7Pl
01_CLIENTES/IRLA DA SAÚDE/05_ENTREGAS_FINAIS                                                                                                  folder  -          2026-07-08 05:00  1Ve53mrsHispBfrdSG4J1FRDwH1xT0M-1
01_CLIENTES/IRLA DA SAÚDE/06_PUBLICADOS_ARQUIVO                                                                                               folder  -          2026-07-08 05:00  1LyDdO5hl3idi1l-R5SbFfLx2Dsdv_yxd
01_CLIENTES/IRLA DA SAÚDE/99_REVISAR_DUPLICADOS                                                                                               folder  -          2026-07-08 05:00  1iAgQ5xsnzObzv17OW04izmDAkRLvitFt
01_CLIENTES/ISBA/00_ADMIN_BRIEFINGS                                                                                                           folder  -          2026-07-08 05:00  1y_nq2D6BjabT_9UzVNz4WOUXJIP7dnIU
01_CLIENTES/ISBA/01_IDENTIDADE_VISUAL                                                                                                         folder  -          2026-07-08 05:00  153Zh9mFBjHRufm00f-He3HVCnl34IVig
01_CLIENTES/ISBA/02_PLANEJAMENTO                                                                                                              folder  -          2026-07-08 05:00  1EB5RrPy2-NQkDNER4gEiOElgDWcFL0pU
01_CLIENTES/ISBA/03_PRODUCAO_BRUTA                                                                                                            folder  -          2026-07-08 05:00  1_zJPriZIcCGWGfoXdS6tZB6jVqUSy9H9
01_CLIENTES/ISBA/04_PROJETOS_EDICAO                                                                                                           folder  -          2026-07-08 05:00  1f6qcAZN9XqLgnZfUy5QXpHnJA9WuOXaC
01_CLIENTES/ISBA/05_ENTREGAS_FINAIS                                                                                                           folder  -          2026-07-08 05:00  1nGJp2kPw-f8F9CP7HFiUHGyq6vPl_gdJ
01_CLIENTES/ISBA/06_PUBLICADOS_ARQUIVO                                                                                                        folder  -          2026-07-08 05:00  1GU8SNXu8xwMNUBHv3KRFHRw7_JZ2e57g
01_CLIENTES/ISBA/99_REVISAR_DUPLICADOS                                                                                                        folder  -          2026-07-08 05:00  1MCitvTb-8ozLro53GJVul2PCZlEe-2re
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR/00_ADMIN_BRIEFINGS                                                                                       folder  -          2026-07-08 05:00  1Ag_SJIr-hXtbdlTE3xQ5CHmVctGn9z0U
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR/01_IDENTIDADE_VISUAL                                                                                     folder  -          2026-07-08 05:00  1iKbIYjePkvUrpeeelnsh7aEW3j9talgy
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR/02_PLANEJAMENTO                                                                                          folder  -          2026-07-08 05:00  1pHCFK2VSC30jcOwNxAZZzE6qmcKKOxzY
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR/03_PRODUCAO_BRUTA                                                                                        folder  -          2026-07-08 05:00  1DkcQTdGk8qS74_O_XaoIQGN7od9H68tX
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR/04_PROJETOS_EDICAO                                                                                       folder  -          2026-07-08 05:00  1nnRoXK1xbMC-KltHpe8zsZPEqmuzcuEY
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR/05_ENTREGAS_FINAIS                                                                                       folder  -          2026-07-08 05:00  1RGoUGhw59IY3-K3Hp_KgIARI9G0CH2fu
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR/06_PUBLICADOS_ARQUIVO                                                                                    folder  -          2026-07-08 05:00  1ZcuwqNjabTdsiusSxY9NAgB3XfHmfFMN
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR/99_REVISAR_DUPLICADOS                                                                                    folder  -          2026-07-08 05:00  1dtTdkkUWWla7kyhLx_1b20GPXYYxy30L
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO/00_ADMIN_BRIEFINGS                                                                                          folder  -          2026-07-08 05:00  1x8OSfGjG36JheOx0n6eiuCyRnJiVvHuc
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO/01_IDENTIDADE_VISUAL                                                                                        folder  -          2026-07-08 05:00  1nM5oFiWW3-V_Hz-RgJWp3cAcKCBxCGFU
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO/02_PLANEJAMENTO                                                                                             folder  -          2026-07-08 05:00  1dqKfw4uQn6__V4usnGNcwru-62Z6FW3n
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO/03_PRODUCAO_BRUTA                                                                                           folder  -          2026-07-08 05:00  1LhaGGsul5ZwN3zFyCk4HcUDaUigffy4G
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO/04_PROJETOS_EDICAO                                                                                          folder  -          2026-07-08 05:01  1lW42fOXDOvceypga6zJCo5eBtDSu6e8m
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO/05_ENTREGAS_FINAIS                                                                                          folder  -          2026-07-08 05:01  1S7fpKkpV7VlOJThi48JGrku920hBZR1P
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO/06_PUBLICADOS_ARQUIVO                                                                                       folder  -          2026-07-08 05:01  1AE4vhn8Mhe2Qb62HswAvR7KfLPl1gak3
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO/99_REVISAR_DUPLICADOS                                                                                       folder  -          2026-07-08 05:01  1QBYGjb0xwHWLjEm8luzpKVc7DhTiiq1B
01_CLIENTES/SINDSS/00_ADMIN_BRIEFINGS                                                                                                         folder  -          2026-07-08 05:01  19-Lux67smumSIBpwAylFqKOa0RU6vrdH
01_CLIENTES/SINDSS/01_IDENTIDADE_VISUAL                                                                                                       folder  -          2026-07-08 05:01  1uq07UzQwgcY_LDwqaEToOkeELMG0DUj9
01_CLIENTES/SINDSS/02_PLANEJAMENTO                                                                                                            folder  -          2026-07-08 05:01  1HsCT-0-ycbVws6c7CnOrJtysX_Vkisj5
01_CLIENTES/SINDSS/03_PRODUCAO_BRUTA                                                                                                          folder  -          2026-07-08 05:01  19rL6s_okoQU2MlNEI2VqDtm3xK0obtIE
01_CLIENTES/SINDSS/04_PROJETOS_EDICAO                                                                                                         folder  -          2026-07-08 05:01  1EDEqsN-ig5X3ORqShTDBy0j3QPrXA5bv
01_CLIENTES/SINDSS/05_ENTREGAS_FINAIS                                                                                                         folder  -          2026-07-08 05:01  15UYSGftrCs8-uJwlQ_jzkghH6IzhPaDp
01_CLIENTES/SINDSS/06_PUBLICADOS_ARQUIVO                                                                                                      folder  -          2026-07-08 05:01  1oHdB-IBiS6sTL6hPrmdcFC1Ii7QMwqc-
01_CLIENTES/SINDSS/99_REVISAR_DUPLICADOS                                                                                                      folder  -          2026-07-08 05:01  1fl6Qqwj4OM5foUxDipeAMrJIrek3R03y
02_PROJETOS/Alem_da_Foto/2026                                                                                                                 folder  -          2026-06-08 00:03  1tbX6ZokXfJRCYmlIeFUQsRi-OZ6AAbno
02_PROJETOS/PROJETOS CULTURAIS/LEI ALDIR BLANC 2024                                                                                           folder  -          2026-07-06 01:32  1WZl0QKoY38uSQ9rxfJPoLJ2Tw46cZaQW
02_PROJETOS/PROJETOS CULTURAIS/LEI PAULO GUSTAVO - VIDEOCLIP                                                                                  folder  -          2026-07-06 01:32  1R-dOTJWNDJScpz5TRQNt_ntWtXoTx_j3
03_EMPRESA/01_LOGIKA_OPERACAO/01_ADMINISTRATIVO                                                                                               folder  -          2026-07-08 04:40  1HbEBEPKykGYHqe4lMlLNfoG8mw9WMxL8
03_EMPRESA/01_LOGIKA_OPERACAO/02_CLIENTES                                                                                                     folder  -          2026-07-08 04:40  1QTHpguvoIMN6yh16anZOiYfGzW-MNwbW
03_EMPRESA/01_LOGIKA_OPERACAO/03_BRIEFINGS_FORMULARIOS                                                                                        folder  -          2026-07-08 04:40  1bZGaIkejMiRz0ON6QTqcvYbM1TL0o-L8
03_EMPRESA/01_LOGIKA_OPERACAO/04_PLANEJAMENTO_ESTRATEGIA                                                                                      folder  -          2026-07-08 04:40  1ypPBqP2_OjA_hjATetFrfds8sCP00Y5x
03_EMPRESA/01_LOGIKA_OPERACAO/05_ROTEIROS                                                                                                     folder  -          2026-07-08 04:40  1AsixwQNxgY3m3npttVvKQFuzxP6JJLwK
03_EMPRESA/01_LOGIKA_OPERACAO/06_PROJETOS                                                                                                     folder  -          2026-07-08 04:40  1-uD8BC7Y--JDtvC8pHWCnU1uqP4A-utc
03_EMPRESA/01_LOGIKA_OPERACAO/07_CAPACITACAO_CURSOS                                                                                           folder  -          2026-07-08 04:40  1dZ20jjr_wDxpwbrAqyycxYFfnxnVAxYz
03_EMPRESA/01_LOGIKA_OPERACAO/08_INSTITUCIONAL                                                                                                folder  -          2026-07-08 04:40  1Btl4ST06DQWslunJjvDmSB3Yi5zU1rXL
03_EMPRESA/03_COMERCIAL_PROPOSTAS/01_ORCAMENTOS_E_PROPOSTAS                                                                                   folder  -          2026-07-08 04:40  1tVfG9GabQy8ylNVNe4Mq1wMogXGjGKk-
03_EMPRESA/03_COMERCIAL_PROPOSTAS/02_PORTFOLIO_CASES                                                                                          folder  -          2026-07-08 04:40  1XTyzzTF8vVpEzAUdQupAE-k2b-gORXu2
03_EMPRESA/03_COMERCIAL_PROPOSTAS/03_FORMULARIOS_BRIEFINGS_COMERCIAIS                                                                         folder  -          2026-07-08 04:40  11AVwmpYq78uPQ1bECp9Frvh1NE636SLy
03_EMPRESA/04_IDENTIDADE_VISUAL_DESIGN/01_IDENTIDADE_LOGIKA                                                                                   folder  -          2026-07-08 04:40  141cxZI17ba2wnVlHEBwEvZhnesQk3Hn0
03_EMPRESA/04_IDENTIDADE_VISUAL_DESIGN/02_LOGOS_MARCAS                                                                                        folder  -          2026-07-08 04:41  1eRj73-0OkiS2ljWb_ifcrhBVzMMHKDSG
03_EMPRESA/04_IDENTIDADE_VISUAL_DESIGN/03_TEMPLATES_REDES_SOCIAIS                                                                             folder  -          2026-07-08 04:41  1U5wqUC_67Cqq0oMcR0wVW2mx7zpOcg6e
03_EMPRESA/04_IDENTIDADE_VISUAL_DESIGN/04_ARQUIVOS_COREL                                                                                      folder  -          2026-07-08 04:41  1nAxIjRNiN0ek98aC9gATb5HK83-EacLK
03_EMPRESA/04_IDENTIDADE_VISUAL_DESIGN/05_IDENTIDADES_ANTIGAS                                                                                 folder  -          2026-07-08 04:41  1n2DZP7xF1q9TPMZBcYKEdezdyCLfq6iN
03_EMPRESA/04_IDENTIDADE_VISUAL_DESIGN/06_BANCO_IMAGENS                                                                                       folder  -          2026-07-08 04:41  1_woae4E6_0745DlarYsaf6C9zmVPdo4K
03_EMPRESA/04_IDENTIDADE_VISUAL_DESIGN/99_DUPLICADOS_REVISAR                                                                                  folder  -          2026-07-08 04:41  1YRK3buyMlxUPNNS_z3jfoayJ8ZmaVoAy
03_EMPRESA/05_PRODUCAO_CAPTACOES/IMAGENS AÉREAS_AL-110_24.06.2026                                                                             folder  -          2026-06-25 00:30  1AzCo8aZC5N24twzDBTJclutBJjoo1qmU
03_EMPRESA/06_SISTEMA_AUTOMACOES/99_CONFIG_AGENTES                                                                                            folder  -          2026-07-08 04:41  1hAU8puvdKsP0qlBNrohjeqQlFUB5zNUy
03_EMPRESA/06_SISTEMA_AUTOMACOES/SKILLS                                                                                                       folder  -          2026-06-06 18:22  1cbeT-NwcGXaekMppApC1swJ12awbO54c
03_EMPRESA/99_MIGRACOES_ARQUIVO/00_PASTAS_LEGADAS_ESVAZIADAS_REVISAR                                                                          folder  -          2026-07-08 04:49  1OPTEXWzVzq_mDU5TwP3HqqMIkDKC0TQM
03_EMPRESA/FINANCEIRO/01_CONTROLE_RECEITAS_DESPESAS                                                                                           folder  -          2026-07-08 04:40  1yRb2WDr9VpNpAjmEx4YSgQ_J2SS2ExKB
03_EMPRESA/FINANCEIRO/02_PRECIFICACAO_ORCAMENTOS                                                                                              folder  -          2026-07-08 04:40  1d-McZWeVjmtdTdyGXSo5iE1vKxoJH1y-
03_EMPRESA/FINANCEIRO/03_COMPROVANTES_NF                                                                                                      folder  -          2026-07-08 04:40  1O3zGUBYYdFSyh8-WdG79Z2nBYofXmUv8
03_EMPRESA/FINANCEIRO/04_RELATORIOS_HISTORICO                                                                                                 folder  -          2026-07-08 04:40  17XUnxPiZsxbHdILu3Qi6jBGE97YjQrQx
03_EMPRESA/FINANCEIRO/05_PLANILHAS_MODELOS                                                                                                    folder  -          2026-07-08 04:40  1pmSN1DNlGh0iDSDqRW4agUtRKwZKbFHV
03_EMPRESA/FINANCEIRO/99_ARQUIVOS_SENSIVEIS_REVISAR                                                                                           folder  -          2026-07-08 04:40  1b9K_3-07PdIIypwcYXN71AwpY5WHlCn5
03_EMPRESA/FINANCEIRO/99_DUPLICADOS_REVISAR                                                                                                   folder  -          2026-07-08 04:40  1qQ91GZ7fYLo5F08SiWnPuZ9ShnFtmf-G
OUTROS/AMIGAS DO PEITO/2026-03-31                                                                                                             folder  -          2026-03-31 22:22  1hxWWn5FQoIr5VkppURHpLXaP5FeiLGap
OUTROS/AMIGAS DO PEITO/AGOSTO LILAS - 2025_08_29                                                                                              folder  -          2025-08-30 02:54  1xHiuQaXqSGmA6tk48GykjKvZvWEkZ6w5
OUTROS/ANIVERSARIOS ELISA AMANDA/10050829                                                                                                     folder  -          2026-01-03 04:16  1OcJDEPwi1SBtCVpUI0CoMBey2ammJwUH
OUTROS/ANIVERSARIOS ELISA AMANDA/ANIVERSÁRIO ELIZA - 2025                                                                                     folder  -          2025-11-04 02:55  1s3apRYya7O430BERjL7wxYZFOplxc70r
OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS                                                                                                         folder  -          2026-01-03 04:16  1vliFPf7tK9RznQxgwMmg2e2L8YQPiJZY
OUTROS/Behringer Drivers/BEHRINGER_2902_X64_2.8.40                                                                                            folder  -          2021-10-16 17:17  13O7U5zP4QQB6Ke_bAtaQlv8LCqVETQaZ
OUTROS/Behringer Drivers/ASIO4ALL_2_14_English.exe                                                                                            file    451.4 KB   2020-10-30 15:53  1OF1C53md56nxF2D8i9sVQUcLERqDBTOC
OUTROS/Behringer Drivers/BEHRINGER_2902_X64_2.8.40.rar                                                                                        file    732.8 KB   2020-10-27 23:16  14l2-lSPaSNkvn886BuX82Ai5gyGYlNof
OUTROS/ETERNIZANDO ABRAÇO - VÔ RAFAEL/VÔ RAFAEL                                                                                               folder  -          2026-01-03 13:07  1373PA9J8CV5ydGQi8dW7EGk0masZhbS1
OUTROS/QUADRILHA DA LUANA/PR                                                                                                                  folder  -          2026-01-03 04:21  10-uUlEw7aEJT7mVjKqE24muhqCcUd1gU
OUTROS/QUADRILHA DA LUANA/VÍDEOS                                                                                                              folder  -          2026-01-03 04:21  1ZK6jVlvBQF8Gyw6iKySCh3Jk0WH7Tq_T
OUTROS/QUADRILHA DA LUANA/ÁUDIO                                                                                                               folder  -          2026-01-03 04:21  1wvXRk4DZP3ySlqo1Pwek8_PCq9jmYfPn
PORTIFÓLIO/VIDEOS/RENDERs FINAIS                                                                                                              folder  -          2026-07-06 03:59  1mCZQjVzn3WkGs8Z1wEA2yLAOa4dnW5wI
PORTIFÓLIO/VIDEOS/RENDERS_CAPCUT                                                                                                              folder  -          2026-07-06 03:59  1Yq3E4nAsa3j0zthD3J-TqtaQItJ2ElVK
