path,name,id,parentId,mimeType,size,modifiedTime,owners,depth
PRODUTIVIDADE,PRODUTIVIDADE,1rxc-NNdQE8X7JTxnmRNhvRRpjla8HBLt,root,application/vnd.google-apps.folder,,2024-04-29T04:22:33.228Z,davijadielson@gmail.com,1
PROPOSTAS,PROPOSTAS,1ytWOD3DwDTB4-M4I3hCUc8byDRAM5Zuo,root,application/vnd.google-apps.folder,,2026-07-06T04:18:16.078Z,davijadielson@gmail.com,1
Bloco de anotações de Jadielson.url,Bloco de anotações de Jadielson.url,1sdNHzDEK21nUkOLg2aGiVEv4C8dZhO-r,128b8jRLHNDYInSvxWp4Y43ZFeYvcf_aS,text/x-url,168,2023-07-31T11:48:23.000Z,davijadielson@gmail.com,1
CURSOS_EBOOKS,CURSOS_EBOOKS,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,128b8jRLHNDYInSvxWp4Y43ZFeYvcf_aS,application/vnd.google-apps.folder,,2026-07-05T21:12:02.000Z,davijadielson@gmail.com,1
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS,A CIÊNCIA E ESTRATÉGIA DE VENDAS,1dADC7woIlgSyGBdgfOfAFGPfE8Ah2De9,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,application/vnd.google-apps.folder,,2026-07-05T21:13:17.000Z,davijadielson@gmail.com,2
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/CROQUI.pdf,CROQUI.pdf,1THgcFJadp9ubztLb9opcMPcmPM2rNW9s,1dADC7woIlgSyGBdgfOfAFGPfE8Ah2De9,application/pdf,144922,2026-01-07T15:45:57.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/EBOOK.pdf,EBOOK.pdf,1KGhOgmsx5fLe9AnxWEH71YDqEJy1gAK8,1dADC7woIlgSyGBdgfOfAFGPfE8Ah2De9,application/pdf,12754131,2026-01-07T15:41:59.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR.html,MEU PERFIL DE VENDEDOR.html,1Fo92AHkcDWKw-Vyn5uPg9VdZHfyYEvH3,1dADC7woIlgSyGBdgfOfAFGPfE8Ah2De9,text/html,59277,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files,MEU PERFIL DE VENDEDOR_files,1UinN755T_s1hsjLke8nouluhNlcCRfB5,1dADC7woIlgSyGBdgfOfAFGPfE8Ah2De9,application/vnd.google-apps.folder,,2026-07-05T21:47:16.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/304-d2f779a0835524f8.js,304-d2f779a0835524f8.js,19c_Yv3UV3Yup7yu6lC2J6ExI41wZ67sy,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,148246,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/637-4fa1f162165cdea8.js,637-4fa1f162165cdea8.js,13RtABOxWkwIzs4jzwUuxzsGUS7VnmCin,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,12247,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/6739242d27122036.css,6739242d27122036.css,1vWjss0mAY8oLV3Qw91mtfRvThr89LDk_,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/css,528244,2026-01-07T15:40:52.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/675-9fcdb742a32f88a7.js,675-9fcdb742a32f88a7.js,1sQ6Po-J_-TJgmuRKGjr6ck8IkEitgAqU,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,9137,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/75fc9c18-af385d3bdb0a9ad1.js,75fc9c18-af385d3bdb0a9ad1.js,1fJve4bNVXGdJhorNBAE1bZl1Is6a587b,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,59307,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/[id]-662865ad383088b8.js,[id]-662865ad383088b8.js,1ICWX5UQN1iHZPCBx3UIz_MTG6IealJ2d,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,74209,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/_app-a05de0f473d7d14f.js,_app-a05de0f473d7d14f.js,1GBfzbMpBTm6yWxeRBF-jEzBO4uARdigV,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,83033,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/_buildManifest.js,_buildManifest.js,1EYvGqlize-itGH6c_QJCXfXYGKxMcedG,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,694,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/_ssgManifest.js,_ssgManifest.js,1j19Q4rJG6FqozhKaWMA7yPLpoI8-e6xL,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,77,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/framework-5429a50ba5373c56.js,framework-5429a50ba5373c56.js,1FOra_Fd4C8l38ihTOdKSMc8avbh0m15q,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,140984,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/index-42b82c524878b434.js,index-42b82c524878b434.js,1PwDiVYlaK_or5zR46hFO3tDQqq0eB7Ys,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,37349,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/main-a25bb6cd49197ab7.js,main-a25bb6cd49197ab7.js,1gmKYLtxztompKZHIPiBP7ESoKfWstrHS,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,109206,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/polyfills-c67a75d1b6f99dc8.js,polyfills-c67a75d1b6f99dc8.js,1JrWGfQVySdh8N7JGHLabsjUsjLMb1PuU,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,91460,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/saved_resource.html,saved_resource.html,1GB86CiWh-B9ZqCDxO4mytMheqDOzIXLw,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/html,506,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/webpack-9fef09e744d92222.js,webpack-9fef09e744d92222.js,1bfpjpMBhJsAMuBCz0HVxpa6w5jaIxq_E,1UinN755T_s1hsjLke8nouluhNlcCRfB5,text/javascript,3471,2026-01-07T15:40:53.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/AULAO DE PLANEJAMENTO,AULAO DE PLANEJAMENTO,1oAA-9mwTRZeX16rNHM4YkSBGclhP0rn1,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,application/vnd.google-apps.folder,,2026-07-05T22:12:50.000Z,davijadielson@gmail.com,2
CURSOS_EBOOKS/AULAO DE PLANEJAMENTO/Aula_o+de+Planejamento+-+Slides+(1).pdf,Aula_o+de+Planejamento+-+Slides+(1).pdf,17ITk5ZNRAI8FXv8ORwIfnpWgaMj9L1LO,1oAA-9mwTRZeX16rNHM4YkSBGclhP0rn1,application/pdf,6062634,2024-11-24T23:28:56.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/AULAO DE PLANEJAMENTO/Aulão Planejamento Estratégico (metas e hábitos).ts,Aulão Planejamento Estratégico (metas e hábitos).ts,1nt-iLbZdGJIH68PzquPEMC5Bc_1htr70,1oAA-9mwTRZeX16rNHM4YkSBGclhP0rn1,text/texmacs,542306680,2024-11-24T23:28:30.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/Acesso Vitalicio - HoodCursos.pdf,Acesso Vitalicio - HoodCursos.pdf,1HRLPo-pmM_aodTiVzNE-riu9LXYTnCDg,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,application/pdf,775986,2026-02-09T02:43:41.010Z,davijadielson@gmail.com,2
CURSOS_EBOOKS/CONQUER,CONQUER,1lnHkzKyAgUKSANqU-1nD7Vj0nEpDRSON,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,application/vnd.google-apps.folder,,2026-06-08T00:01:48.000Z,davijadielson@gmail.com,2
CURSOS_EBOOKS/CONQUER/GESTÃO FINANCEIRA,GESTÃO FINANCEIRA,1c4CtCGnYwjIbAB9tjtgI30CO96mZ8v-2,1lnHkzKyAgUKSANqU-1nD7Vj0nEpDRSON,application/vnd.google-apps.folder,,2026-07-05T21:47:16.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/CONQUER/GESTÃO FINANCEIRA/Módulo 1 - Entenda suas cartas - Gestão financeira eficiente.pdf,Módulo 1 - Entenda suas cartas - Gestão financeira eficiente.pdf,1udfheLgxc6aFUjlOmKLU5C0rfgzhutaI,1c4CtCGnYwjIbAB9tjtgI30CO96mZ8v-2,application/pdf,2024672,2026-03-06T23:00:33.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/CONQUER/GESTÃO FINANCEIRA/Módulo 2 - Entenda as regras do jogo - Analisando as finanças.pdf,Módulo 2 - Entenda as regras do jogo - Analisando as finanças.pdf,1f9uKWGNO9YBIIebrBr8zBGiaP2_lquqL,1c4CtCGnYwjIbAB9tjtgI30CO96mZ8v-2,application/pdf,2176538,2026-03-07T00:35:35.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/CONQUER/GESTÃO FINANCEIRA/Módulo 3 - Estabeleça suas estratégias - Executando gestão diária.pdf,Módulo 3 - Estabeleça suas estratégias - Executando gestão diária.pdf,1h-V-BcWteaVqnfFmJ-hkavLigNFYWnnl,1c4CtCGnYwjIbAB9tjtgI30CO96mZ8v-2,application/pdf,1825746,2026-03-07T01:16:46.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/CONQUER/GESTÃO FINANCEIRA/Módulo 4 - Decida com números - Usando indicadores a seu favor.pdf,Módulo 4 - Decida com números - Usando indicadores a seu favor.pdf,157AOS5-pYqkN4GxLVT7zK7xNxyRNHVkD,1c4CtCGnYwjIbAB9tjtgI30CO96mZ8v-2,application/pdf,2033612,2026-03-07T02:02:02.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/CONQUER/GESTÃO FINANCEIRA/Planilha de Exercícios.xlsx,Planilha de Exercícios.xlsx,1s7H4IIk3wvZVuAu0TpcVvvrWY6SL8tNl,1c4CtCGnYwjIbAB9tjtgI30CO96mZ8v-2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,38848,2026-03-07T00:35:59.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/CONTRATOEQJC.pdf,CONTRATOEQJC.pdf,1Cp5LCWTi7TSsM83ckxb3ZmxYawherp4W,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,application/pdf,1063754,2026-04-16T04:16:03.000Z,davijadielson@gmail.com,2
CURSOS_EBOOKS/EMPRESA 1P,EMPRESA 1P,1V7YVDLFOgsCqDZNKbD9rtF2LSSdmD3zr,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,application/vnd.google-apps.folder,,2026-06-24T13:55:09.000Z,davijadielson@gmail.com,2
CURSOS_EBOOKS/EMPRESA 1P/CRMaster_Gestão Automatizada de Clientes,CRMaster_Gestão Automatizada de Clientes,1TGIyKuALQMCCFCegmXZJdjqaj1YrvrrD,1V7YVDLFOgsCqDZNKbD9rtF2LSSdmD3zr,application/vnd.google-apps.folder,,2026-07-05T22:46:40.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/EMPRESA 1P/CRMaster_Gestão Automatizada de Clientes/AULA+FORMS.pdf,AULA+FORMS.pdf,1QrcBM6v4XF8vYjMUO4hKs5CAl8taS1uh,1TGIyKuALQMCCFCegmXZJdjqaj1YrvrrD,application/pdf,38399,2026-06-24T13:53:49.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/EMPRESA 1P/CRMaster_Gestão Automatizada de Clientes/CRMaster+[DOWNLOAD].pdf,CRMaster+[DOWNLOAD].pdf,12Gvlto0MKft5pfZW5LB9oSKpQXCPKl6Y,1TGIyKuALQMCCFCegmXZJdjqaj1YrvrrD,application/pdf,38109,2026-06-24T13:53:22.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina,EXECUÇÃO MÁXIMA - Luana Carolina,1bmkXMYKNCgKYwvbW7grOIdrIRnB34J9t,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,application/vnd.google-apps.folder,,2026-07-04T05:56:48.780Z,davijadielson@gmail.com,2
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo,2. 3 armas do longo prazo,1P5V4Zcx9ODGbCVxJJNUzF7T4kAJXYh71,1bmkXMYKNCgKYwvbW7grOIdrIRnB34J9t,application/vnd.google-apps.folder,,2026-06-08T00:00:35.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo,2. 3 armas do longo prazo,1xWz0reJsGV_huOH2vWZoRaftCVeLmcNI,1P5V4Zcx9ODGbCVxJJNUzF7T4kAJXYh71,application/vnd.google-apps.folder,,2026-06-08T00:00:35.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/1. Introdução ao módulo,1. Introdução ao módulo,1CXRh8J4DDxicpSu58QAtzbcM7OSKMntm,1xWz0reJsGV_huOH2vWZoRaftCVeLmcNI,application/vnd.google-apps.folder,,2026-07-05T23:27:39.000Z,davijadielson@gmail.com,5
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/1. Introdução ao módulo/Hotmart Club - Introdução ao módulo.ts,Hotmart Club - Introdução ao módulo.ts,1HZwWGV2NBs_CEQFIZf0HdOXz-BBVJ_IP,1CXRh8J4DDxicpSu58QAtzbcM7OSKMntm,text/texmacs,100010172,2022-10-25T14:58:10.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/1. Introdução ao módulo/Materiais,Materiais,1EjO5I0qzrTL_e2BGff5gDmETJNJ0fCpF,1CXRh8J4DDxicpSu58QAtzbcM7OSKMntm,application/vnd.google-apps.folder,,2026-06-08T00:00:35.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/1. Introdução ao módulo/Materiais/[Resumo EM] Introdução módulo 2.pdf,[Resumo EM] Introdução módulo 2.pdf,1hH4sM24S9IKYpIKQrhd8yq88h905u8xZ,1EjO5I0qzrTL_e2BGff5gDmETJNJ0fCpF,application/pdf,415000,2022-10-25T14:38:26.000Z,davijadielson@gmail.com,7
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/1. Introdução ao módulo/desc.html,desc.html,1uOceA8B9ys4aJcj8YkuusfbNkJL3epi8,1CXRh8J4DDxicpSu58QAtzbcM7OSKMntm,text/html,279,2022-10-25T14:36:30.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/2. Confiança em si mesmo,2. Confiança em si mesmo,1zEs9POXBVSahfWvTfTw4bIzV_EkAqnNX,1xWz0reJsGV_huOH2vWZoRaftCVeLmcNI,application/vnd.google-apps.folder,,2026-07-05T23:42:37.000Z,davijadielson@gmail.com,5
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/2. Confiança em si mesmo/Hotmart Club - Confiança em si mesmo.ts,Hotmart Club - Confiança em si mesmo.ts,1cvbf2G_NJ4_79dFY13Qj8S5635QPSV42,1zEs9POXBVSahfWvTfTw4bIzV_EkAqnNX,text/texmacs,361878756,2022-10-25T15:10:42.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/2. Confiança em si mesmo/Materiais,Materiais,15JaVZ5Hl0IyjhgJMz8_3UZ1hrVc6J9Cu,1zEs9POXBVSahfWvTfTw4bIzV_EkAqnNX,application/vnd.google-apps.folder,,2026-07-05T20:54:05.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/2. Confiança em si mesmo/Materiais/[Resumo EM] Aula 5.pdf,[Resumo EM] Aula 5.pdf,1xNJulT_0nTsHTZJoN4-kd7eRkdj8v1YO,15JaVZ5Hl0IyjhgJMz8_3UZ1hrVc6J9Cu,application/pdf,977564,2022-10-25T14:38:26.000Z,davijadielson@gmail.com,7
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/2. Confiança em si mesmo/desc.html,desc.html,1XODptUwhMjiHtG1dLLWwZq_5T8UCJDA2,1zEs9POXBVSahfWvTfTw4bIzV_EkAqnNX,text/html,279,2022-10-25T14:36:32.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/3. As pequenas vitórias,3. As pequenas vitórias,1KFwmCnoqmxvrbeEQkM11qK2pkEtdgjvP,1xWz0reJsGV_huOH2vWZoRaftCVeLmcNI,application/vnd.google-apps.folder,,2026-07-05T21:09:50.000Z,davijadielson@gmail.com,5
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/3. As pequenas vitórias/Hotmart Club - As pequenas vitórias.ts,Hotmart Club - As pequenas vitórias.ts,1QzNIbe6C-khVz8dKRJEJqKiHxRfLbkTn,1KFwmCnoqmxvrbeEQkM11qK2pkEtdgjvP,text/texmacs,280112292,2022-10-25T15:07:26.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/3. As pequenas vitórias/Materiais,Materiais,1RBNp92qsCm2Tnhawj60R66EJaF8RSXec,1KFwmCnoqmxvrbeEQkM11qK2pkEtdgjvP,application/vnd.google-apps.folder,,2026-07-05T20:08:34.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/3. As pequenas vitórias/Materiais/[Resumo EM] Aula 6.pdf,[Resumo EM] Aula 6.pdf,1nXnjcx3uO2nVKLxD9Uq0bFghUKdY4FGr,1RBNp92qsCm2Tnhawj60R66EJaF8RSXec,application/pdf,1110033,2022-10-25T14:38:30.000Z,davijadielson@gmail.com,7
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/3. As pequenas vitórias/desc.html,desc.html,1vpT_5BOHf2OB6WjR8ndKhHgbshVx5IjD,1KFwmCnoqmxvrbeEQkM11qK2pkEtdgjvP,text/html,279,2022-10-25T14:36:34.000Z,davijadielson@gmail.com,6
"CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/4. Excelência como fim, não meio","4. Excelência como fim, não meio",1kFU1bQITO99agDkM5w8f47wT3pq94k6y,1xWz0reJsGV_huOH2vWZoRaftCVeLmcNI,application/vnd.google-apps.folder,,2026-07-05T23:29:04.000Z,davijadielson@gmail.com,5
"CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/4. Excelência como fim, não meio/Hotmart Club - Excelência como fim, não meio.ts","Hotmart Club - Excelência como fim, não meio.ts",1VUUYELLkSm91j2yhER6MmzqveyD1dGxZ,1kFU1bQITO99agDkM5w8f47wT3pq94k6y,text/texmacs,309374492,2022-10-25T15:08:50.000Z,davijadielson@gmail.com,6
"CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/4. Excelência como fim, não meio/Materiais",Materiais,1KxAYQ9oFLI46IMzXHXA-Be93rMxMPCFd,1kFU1bQITO99agDkM5w8f47wT3pq94k6y,application/vnd.google-apps.folder,,2026-06-08T00:00:35.000Z,davijadielson@gmail.com,6
"CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/4. Excelência como fim, não meio/Materiais/[Resumo EM] Aula 7.pdf",[Resumo EM] Aula 7.pdf,10cfKHEml9TO6sen8KSegy5kaTUmshR8Z,1KxAYQ9oFLI46IMzXHXA-Be93rMxMPCFd,application/pdf,1172321,2022-10-25T14:38:30.000Z,davijadielson@gmail.com,7
"CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/2. 3 armas do longo prazo/2. 3 armas do longo prazo/4. Excelência como fim, não meio/desc.html",desc.html,1b7S9Eeiu2AXtRA30crOZR36isPVR1UFR,1kFU1bQITO99agDkM5w8f47wT3pq94k6y,text/html,279,2022-10-25T14:36:34.000Z,davijadielson@gmail.com,6
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/3. Foco vs Procrastinação,3. Foco vs Procrastinação,1tlVM2yM3tnmTkitjDISfhNBMs92pPHBB,1bmkXMYKNCgKYwvbW7grOIdrIRnB34J9t,application/vnd.google-apps.folder,,2026-06-08T00:00:35.000Z,davijadielson@gmail.com,3
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/3. Foco vs Procrastinação/3. Foco vs Procrastinação,3. Foco vs Procrastinação,19OnNmT-B3Jka9fBi4amWpGJBCZRfd7az,1tlVM2yM3tnmTkitjDISfhNBMs92pPHBB,application/vnd.google-apps.folder,,2026-06-08T00:00:35.000Z,davijadielson@gmail.com,4
CURSOS_EBOOKS/EXECUÇÃO MÁXIMA - Luana Carolina/3. Foco vs Procrastinação/3. Foco vs Procrastinação/1. Como ter foco,1. Como ter foco,1Kpq2LebdURFCoArS7Qyol1aFZ39gvGeP,19OnNmT-B3Jka9fBi4amWpGJBCZRfd7az,application/vnd.google-apps.folder,,2026-07-05T20:53:50.000Z,davijadielson@gmail.com,5
